"競價拍賣公告-投標日程表"
"序號","開標日期","證券名稱","證券代號","發行市場","競拍方式","投標開始日","投標截止日","競拍股數","最低投標價格(元)","最低每標單位(張)","最高投(得)標單位(張)","保證金成數","每一投標單投標處理費(元)","撥券日期(上市、上櫃日期)","主辦券商","得標總金額(元)","得標手續費率(%)","總合格件","合格投標量(張)","最低得標價格(元)","最高得標價格(元)","得標加權平均價格(元)","承銷價格(元)","取消競價拍賣（流標或取消）",
"1","2016/1/13","福邦證","6026","初上櫃","美國標","2016/1/7","2016/1/11","8000000","7.38","5","1,000","60","500","2016/1/27","中國信託","76012650","2.5","426","29,313","9.5","10","9.5","9.5","",
"2","2016/3/10","精測","6510","初上櫃","美國標","2016/3/4","2016/3/8","1896000","300","3","236","50","500","2016/3/24","中國信託","854748380","2.5","2,667","17,457","440.2","482","450.82","360","",
"3","2016/5/5","寒舍","2739","初上市","美國標","2016/4/28","2016/5/3","7723000","38.8","3","965","50","500","2016/5/19","富邦證券","414385780","3.5","1,598","33,686","52","62","53.66","50.44","",
"4","2016/5/17","愛普","6531","初上市","美國標","2016/5/11","2016/5/13","4885000","71","2","610","50","500","2016/5/31","永豐金證券","460032270","5","1,154","15,591","92","102","94.17","92.3","",
"5","2016/6/1","達爾膚","6523","初上櫃","美國標","2016/5/26","2016/5/30","2538000","150.4","2","317","50","500","2016/6/16","元大證券","686694130","5","1,769","12,239","257.21","303.62","270.57","188","",
"6","2016/7/5","藥華藥","6446","初上櫃","美國標","2016/6/29","2016/7/1","14400000","132.5","2","1,800","50","500","2016/7/19","凱基","2502986750","4.5","2,293","35,123","165","200","173.82","159","",
"7","2016/7/6","力達-KY","4552","第一上市初上市","美國標","2016/6/30","2016/7/4","7999000","80","2","1,000","50","500","2016/7/20","凱基","925187300","4","1,254","18,527","101.1","185","115.66","96","",
"8","2016/7/13","益安","6499","初上櫃","美國標","2016/7/6","2016/7/11","4080000","120","2","510","50","500","2016/7/27","元富證券","669504320","5","1,166","8,476","157.1","182.1","164.09","132","",
"9","2016/8/24","大國鋼","8415","初上櫃","美國標","2016/8/18","2016/8/22","8000000","12","2","1,000","50","500","2016/9/7","統一證","136024850","3","791","32,296","17","17.5","17","15","",
"10","2016/8/25","隆中","6542","初上櫃","美國標","2016/8/19","2016/8/23","2817000","96.36","2","352","50","500","2016/9/8","元大證券","323704440","5","847","7,082","111","125.3","114.91","106","",
"11","2016/8/25","山林水","8473","初上市","美國標","2016/8/19","2016/8/23","9378000","41.69","2","1,172","50","500","2016/9/8","兆豐證券","514252800","2.5","1,777","41,221","53.5","60","54.84","54.2","",
"12","2016/8/31","長華科","6548","初上櫃","美國標","2016/8/25","2016/8/29","1700000","87.93","2","212","50","500","2016/9/13","凱基","211965920","5","1,167","10,298","120.1","135","124.69","102","",
"13","2016/9/5","岱宇","1598","初上市","美國標","2016/8/30","2016/9/1","7437000","37.2","2","929","50","500","2016/9/20","國泰綜合證券","364462230","4","1,085","14,793","47.12","55.8","49.01","46.5","",
