"競價拍賣公告-投標日程表"
"序號","開標日期","證券名稱","證券代號","發行市場","發行性質","競拍方式","投標開始日","投標結束日","競拍數量(張)","最低投標價格(元)","最低每標單投標數量(張)","最高投(得)標數量(張)","保證金成數(%)","每一投標單投標處理費(元)","撥券日期(上市、上櫃日期)","主辦券商","得標總金額(元)","得標手續費率(%)","總合格件","合格投標數量(張)","最低得標價格(元)","最高得標價格(元)","得標加權平均價格(元)","實際承銷價格(元)","取消競價拍賣(流標或取消)",
"1","2026/04/13","創新服務","7828","櫃檯買賣","初上櫃","美國標","2026/04/07","2026/04/09","2,590","550.88","1","328","50","400","2026/04/22","凱基","0","5","0","0","0","0","0","0","",
"2","2026/04/09","宏碁智新","7794","櫃檯買賣","初上櫃","美國標","2026/04/01","2026/04/07","2,040","28.97","1","265","50","400","2026/04/20","台新","0","5","0","0","0","0","0","0","",
"3","2026/04/09","神數","7821","集中交易市場","初上市","美國標","2026/04/01","2026/04/07","8,500","32.08","1","1,112","50","400","2026/04/20","元大","0","5","0","0","0","0","0","0","",
"4","2026/04/02","保瑞五","64725","櫃檯買賣","無擔保轉換公司債","美國標","2026/03/27","2026/03/31","8,500","100","1","850","50","400","2026/04/15","台新","917,908,920","0.5","538","28,307","105","152","107.99","107.9900","",
"5","2026/03/26","泰宗","4169","集中交易市場","初上市","美國標","2026/03/20","2026/03/24","5,316","85","1","669","50","400","2026/04/08","元大","755,547,130","5","2,466","18,760","125.5","179","142.13","102.0000","",
"6","2026/03/19","倍利科","7822","集中交易市場","初上市","美國標","2026/03/13","2026/03/17","2,804","678.26","1","350","50","400","2026/03/30","凱基","3,915,325,100","5","5,201","18,476","1,351.11","1,479","1,396.34","780.0000","",
"7","2026/03/19","公勝保經","6028","櫃檯買賣","初上櫃","美國標","2026/03/13","2026/03/17","2,040","62.07","1","258","50","400","2026/03/30","台新","175,887,370","5","1,112","12,555","82","1,192","86.22","72.0000","",
"8","2026/03/17","今皓二","30112","櫃檯買賣","有擔保轉換公司債","美國標","2026/03/11","2026/03/13","3,850","100","1","385","50","400","2026/03/26","群益金鼎","404,360,800","0.5","154","9,755","103.46","113.58","105.03","105.0300","",
"9","2026/03/17","世紀風電","2072","集中交易市場","初上市","美國標","2026/03/11","2026/03/13","15,840","155","1","1,990","50","400","2026/03/26","永豐金","2,974,944,700","5","2,199","20,207","155","248.6","187.81","186.0000","",
"10","2026/03/16","民盛","7811","櫃檯買賣","初上櫃","美國標","2026/03/10","2026/03/12","2,080","80.51","1","298","50","400","2026/03/25","富邦","194,120,430","5","361","3,928","87.6","206","93.33","93.3300","",
"11","2026/03/16","宏碁遊戲","6908","創新板","創新板初上市","美國標","2026/03/10","2026/03/12","1,488","33.33","1","192","50","400","2026/03/25","富邦","73,833,290","5","651","4,811","46","56","49.62","38.6600","",
